0x0041,1,1
0x0042,2,1
0x0043,3,1
0x0044,4,1
0x0045,5,1
0x0046,6,1
0x0047,7,1
0x0048,8,1
0x0049,9,1
0x004A,10,1
0x004B,11,1
0x004C,12,1
0x004D,13,1
0x004E,14,1
0x004F,15,1
0x0050,16,1
0x0051,17,1
0x0052,18,1
0x0053,19,1
0x0054,20,1
0x0055,21,1
0x0056,22,1
0x0057,23,1
0x0058,24,1
0x0059,25,1
0x005A,26,1
0x0391,27,1
0x0392,28,1
0x0393,29,1
0x0394,30,1
0x0395,31,1
0x0396,32,1
0x0397,33,1
0x0398,34,1
0x0399,35,1
0x039A,36,1
0x039B,37,1
0x039C,38,1
0x039D,39,1
0x039E,40,1
0x039F,41,1
0x03A0,42,1
0x03A1,43,1
0x03A3,44,1
0x03A4,45,1
0x03D2,46,1
0x03A6,47,1
0x03A7,48,1
0x03A8,49,1
0x03A9,50,1
0x0061,51,1
0x0062,52,1
0x0063,53,1
0x0064,54,1
0x0065,55,1
0x0066,56,1
0x0067,57,1
0x0068,58,1
0x0069,59,1
0x006A,60,1
0x006B,61,1
0x006C,62,1
0x006D,63,1
0x006E,64,1
0x006F,65,1
0x0070,66,1
0x0071,67,1
0x0072,68,1
0x0073,69,1
0x0074,70,1
0x0075,71,1
0x0076,72,1
0x0077,73,1
0x0078,74,1
0x0079,75,1
0x007A,76,1
0x03B1,77,4
0x03B2,78,4
0x03B3,79,4
0x03B4,80,4
0x03B6,81,4
0x03B7,82,4
0x03B9,83,4
0x03BA,84,4
0x03BB,85,4
0x03BC,86,4
0x03BD,87,4
0x03BE,88,4
0x03BF,89,4
0x03C0,90,4
0x03C1,91,4
0x03C3,92,4
0x03C4,93,4
0x03C5,94,4
0x03C7,95,4
0x03C8,96,4
0x03C9,97,4
0x03F5,98,4
0x03B8,99,4
0x03D5,100,4
0x0030,102,1
0x0031,103,1
0x0032,104,1
0x0033,105,1
0x0034,106,1
0x0035,107,1
0x0036,108,1
0x0037,109,1
0x0038,110,1
0x0039,111,1
0x002E,112,1
